index,Test_Time,Step_Time,Cycle_Index,Step_Index,Voltage,Test_Time,Step_Time,Cycle_Index,Step_Index,Current,Test_Time,Step_Time,Cycle_Index,Step_Index,Charge_Capacity,Test_Time,Step_Time,Cycle_Index,Step_Index,Discharge_Capacity,Test_Time,Step_Time,Cycle_Index,Step_Index,Charge_Energy,Test_Time,Step_Time,Cycle_Index,Step_Index,Discharge_Energy,Test_Time,Step_Time,Cycle_Index,Step_Index,dV/dt
293,33357.359692,2520.0019,6,3,4.39999341964722,33357.359692,2520.0019,6,3,0.75648307800293,33357.359692,2520.0019,6,3,1.31201279163361,33357.359692,2520.0019,6,3,0,33357.359692,2520.0019,6,3,5.72463893890381,33357.359692,2520.0019,6,3,0,37275.247456,2280.0033,7,3,0.000103950500488
294,33477.359692,2640.0019,6,3,4.40000581741333,33477.359692,2640.0019,6,3,0.706609725952148,33477.359692,2640.0019,6,3,1.33638477325439,33477.359692,2640.0019,6,3,0,33477.359692,2640.0019,6,3,5.83187532424927,33477.359692,2640.0019,6,3,0,37395.245756,2400.0016,7,3,5.7220458984375E-06
295,33597.362092,2760.0043,6,3,4.40001344680786,33597.362092,2760.0043,6,3,0.662592887878418,33597.362092,2760.0043,6,3,1.35918295383453,33597.362092,2760.0043,6,3,0,33597.362092,2760.0043,6,3,5.93218755722046,33597.362092,2760.0043,6,3,0,37515.244956,2520.0008,7,3,1.04904174804688E-05
296,33628.629992,2791.2722,6,3,4.40000581741333,33628.629992,2791.2722,6,3,0.651982307434082,33628.629992,2791.2722,6,3,1.36489284038544,33628.629992,2791.2722,6,3,0,33628.629992,2791.2722,6,3,5.95731067657471,33628.629992,2791.2722,6,3,0,37635.248456,2640.0043,7,3,0
297,33748.679592,120.0001,6,4,4.27335500717163,33748.679592,120.0001,6,4,0,33748.679592,120.0001,6,4,1.36489307880402,33748.679592,120.0001,6,4,0,33748.679592,120.0001,6,4,5.95731210708618,33748.679592,120.0001,6,4,0,37867.936284,120.0039,7,4,-0.000205993652344
298,33868.682792,240.0033,6,4,4.26071786880493,33868.682792,240.0033,6,4,0,33868.682792,240.0033,6,4,1.36489307880402,33868.682792,240.0033,6,4,0,33868.682792,240.0033,6,4,5.95731210708618,33868.682792,240.0033,6,4,0,37987.938484,240.0061,7,4,1.23977661132813E-05
299,33928.680992,300.0015,6,4,4.25757360458374,33928.680992,300.0015,6,4,0,33928.680992,300.0015,6,4,1.36489307880402,33928.680992,300.0015,6,4,0,33928.680992,300.0015,6,4,5.95731210708618,33928.680992,300.0015,6,4,0,38168.024028,120.0023,7,5,-0.000164031982422
300,34048.76764,120.003,6,5,3.36494493484497,34048.76764,120.003,6,5,-6.51984930038452,34048.76764,120.003,6,5,1.36489307880402,34048.76764,120.003,6,5,0.217302829027176,34048.76764,120.003,6,5,5.95731210708618,34048.76764,120.003,6,5,0.745670258998871,38288.028528,240.0068,7,5,-0.000473976135254
301,34168.76944,240.0048,6,5,3.31848192214966,34168.76944,240.0048,6,5,-6.51984453201294,34168.76944,240.0048,6,5,1.36489307880402,34168.76944,240.0048,6,5,0.434660375118256,34168.76944,240.0048,6,5,5.95731210708618,34168.76944,240.0048,6,5,1.47295534610748,38408.023928,360.0022,7,5,-0.000447273254395
302,34288.76984,360.0052,6,5,3.24968290328979,34288.76984,360.0052,6,5,-6.51983737945557,34288.76984,360.0052,6,5,1.36489307880402,34288.76984,360.0052,6,5,0.651974201202393,34288.76984,360.0052,6,5,5.95731210708618,34288.76984,360.0052,6,5,2.18661737442017,38528.021728,480,7,5,-0.000465393066406
