index,Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage,Current(A),Charge_Capacity,Discharge_Capacity,Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm)
1910,01/30/2018 06:08:32.088,217523.731456,2160.0003,3,29,4.40020179748535,1.42581272125244,2.19279599189758,6.36E-10,9.43283367156982,2.349E-09,,
1911,01/30/2018 06:10:32.089,217643.732356,2280.0012,3,29,4.40015316009522,1.33151912689209,2.23873615264893,6.36E-10,9.63497924804688,2.349E-09,,
1912,01/30/2018 06:12:32.089,217763.732356,2400.0012,3,29,4.40015029907227,1.24510669708252,2.28167843818665,6.36E-10,9.82393169403076,2.349E-09,,
1913,01/30/2018 06:14:32.088,217883.731456,2520.0003,3,29,4.40017604827881,1.16322231292725,2.32180213928223,6.36E-10,10.0004835128784,2.349E-09,,
1914,01/30/2018 06:16:32.088,218003.731456,2640.0003,3,29,4.40017318725586,1.08655166625977,2.35926961898804,6.36E-10,10.1653470993042,2.349E-09,,
1915,01/30/2018 06:18:32.088,218123.732256,2760.0011,3,29,4.40011692047119,1.01444435119629,2.394282579422,6.36E-10,10.3194103240967,2.349E-09,,
1916,01/30/2018 06:20:32.089,218243.733056,2880.0019,3,29,4.40019035339356,0.947921752929688,2.42697405815125,6.36E-10,10.4632577896118,2.349E-09,,
1917,01/30/2018 06:22:32.089,218363.733156,3000.002,3,29,4.40017986297607,0.883614540100098,2.45748424530029,6.36E-10,10.597508430481,2.349E-09,,
1918,01/30/2018 06:24:32.088,218483.731356,3120.0002,3,29,4.40013408660889,0.823099136352539,2.48591017723083,6.36E-10,10.7225866317749,2.349E-09,,
1919,01/30/2018 06:26:32.088,218603.731456,3240.0003,3,29,4.40011119842529,0.767063140869141,2.51242160797119,6.36E-10,10.839241027832,2.349E-09,,
1920,01/30/2018 06:28:32.088,218723.731456,3360.0003,3,29,4.40017127990723,0.71562671661377,2.53713035583496,6.36E-10,10.9479627609253,2.349E-09,,
1921,01/30/2018 06:30:32.088,218843.732256,3480.0011,3,29,4.40014171600342,0.666495323181152,2.56015181541443,6.36E-10,11.049262046814,2.349E-09,,
1922,01/30/2018 06:31:10.297,218881.940756,3518.2096,3,29,4.40018749237061,0.651996612548828,2.56715106964111,6.36E-10,11.080060005188,2.349E-09,,
1923,01/30/2018 06:33:10.341,219001.983064,120.0008,4,29,4.30273342132568,0,2.56715106964111,6.36E-10,11.080060005188,2.349E-09,,
1924,01/30/2018 06:35:10.340,219121.982264,240,4,29,4.29133796691895,0,2.56715106964111,6.36E-10,11.080060005188,2.349E-09,,
1925,01/30/2018 06:36:10.342,219181.984464,300.0022,4,29,4.288161277771,0,2.56715106964111,6.36E-10,11.080060005188,2.349E-09,,
1926,01/30/2018 06:38:10.420,219302.055424,120.0003,5,29,3.86124610900879,-3.25978374481201,2.56715106964111,0.1086454,11.080060005188,0.4254907,,
1927,01/30/2018 06:40:10.420,219422.055324,240.0002,5,29,3.80771064758301,-3.26008033752441,2.56715106964111,0.2173182,11.080060005188,0.8420594,,
1928,01/30/2018 06:42:10.420,219542.055324,360.0002,5,29,3.7607364654541,-3.26011753082275,2.56715106964111,0.3259804,11.080060005188,1.253235,,
